"filename", "language", "Markdown", "PowerShell", "Batch", "Python", "JSON with Comments", "YAML", "XML", "JSON", "TypeScript", "TypeScript JSX", "Log", "pip requirements", "Ini", "MS SQL", "CSS", "JavaScript", "comment", "blank", "total"
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\src\social\schemas.py", "Python", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\src\social\service.py", "Python", 0, 0, 0, 233, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 39, 275
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\src\tasks\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\src\tasks\interaction_cleanup.py", "Python", 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 27, 159
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\src\tours\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\src\tours\models.py", "Python", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 49
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\src\tours\router.py", "Python", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 70
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\src\tours\schemas.py", "Python", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 66
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\src\tours\service.py", "Python", 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26, 155
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\src\users\auth_service.py", "Python", 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 35, 192
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\src\users\models.py", "Python", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 12, 72
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\src\users\otp_service.py", "Python", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29, 103
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\src\users\router.py", "Python", 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22, 140
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\src\users\schemas.py", "Python", 0, 0, 0, 194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 70, 277
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\src\users\service.py", "Python", 0, 0, 0, 319, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 30, 358
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\src\users\settings_router.py", "Python", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 54
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\start.ps1", "PowerShell", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 17
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\test_results_3.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 612, 0, 0, 0, 0, 0, 0, 33, 645
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\tests\29.3.py", "Python", 0, 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 34, 214
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\tests\check_db.py", "Python", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 53
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\tests\check_db_direct.py", "Python", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 30
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\tests\check_supabase.py", "Python", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 46
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\tests\debug_jwt.py", "Python", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9, 62
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\tests\debug_swipe.py", "Python", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 47
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\tests\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\tests\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\tests\test_all_apis.py", "Python", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 17, 114
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\tests\test_ambiguity.py", "Python", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\tests\test_apis.py", "Python", 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 130
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\tests\test_auth_insert.py", "Python", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\tests\test_db.py", "Python", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\tests\test_full_journey.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1365, 0, 0, 0, 0, 0, 0, 105, 1470
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\tests\test_full_journey.py", "Python", 0, 0, 0, 575, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 134, 817
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\tests\test_groq.py", "Python", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\tests\test_journey.py", "Python", 0, 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 36, 206
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\tests\test_query.py", "Python", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\Code\01_University\2526-HK2\TuDuyTinhToan_Backup\backend\tests\test_results.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 199, 0, 0, 0, 0, 0, 0, 0, 199
